record_label,features,distinct_artists,distinct_authors,primary_genre,primary_country,first_feature,latest_feature
Martha High and The Italian Royal Family,1,1,1,R&B/Soul,United States,2020-01-23,2020-01-23
Marvin Tate's D-Settlement,1,1,1,Rock,United States,2022-11-03,2022-11-03
Mass Appeal,1,1,1,,United States,2016-08-24,2016-08-24
MASTER BOOT RECORD,3,1,1,Electronic,Italy,2018-10-16,2022-05-23
maya ongaku,1,1,1,Ambient,Japan,2026-08-12,2026-08-12
Maybe Mars,1,1,1,,China,2016-11-03,2016-11-03
mejiwahn,1,1,1,Experimental,United States,2022-07-06,2022-07-06
Mello Music Group,1,1,1,Hip-Hop/Rap,United States,2022-11-30,2022-11-30
Melody As Truth,1,1,1,Ambient,Netherlands,2020-05-08,2020-05-08
Melody's Echo Chamber,1,1,1,Experimental,France,2018-06-15,2018-06-15
Mental Groove Records / Musique Pour La Danse,2,2,2,Electronic,Switzerland,2019-07-09,2022-02-18
MESH,1,1,1,Punk,United States,2021-05-21,2021-05-21
METHYL ETHEL,1,1,1,Pop,Australia,2019-02-21,2019-02-21
Métron Records,1,1,1,Ambient,United Kingdom,2020-04-14,2020-04-14
METZ,1,1,1,Rock,Canada,2024-04-12,2024-04-12
Michael Gordon,1,1,1,,United States,2016-11-01,2016-11-01
Michael Nau,1,1,1,Alternative,United States,2018-08-01,2018-08-01
micronism,1,1,1,Electronic,Australia,2017-08-03,2017-08-03
Miguel Zenón,1,1,1,Jazz,United States,2025-08-29,2025-08-29
MIKE,1,1,1,Hip-Hop/Rap,United States,2026-04-03,2026-04-03
Mike & Rich,1,1,1,,United Kingdom,2016-08-08,2016-08-08
mike clay,1,1,1,R&B/Soul,Canada,2019-05-01,2019-05-01
Mint Field,1,1,1,Alternative,Mexico,2018-02-22,2018-02-22
Mirror Universe Tapes,1,1,1,,United States,2016-09-06,2016-09-06
